GENESIS-Tabelle: 46321-0002
Beförderte Güter, Beförderungsleistung (Binnenschifffahrt):;;;;;;;;;
Deutschland, Monate, Hauptverkehrsbeziehungen;;;;;;;;;
Güterverkehrsstatistik der Binnenschifffahrt;;;;;;;;;
Deutschland;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm
2008;Dezember;4302661;806;3748603;968;7832529;1757;1661463;1066
2009;Januar;3001049;498;3417712;810;7151034;1612;1304650;807
2009;Februar;3852475;757;3963258;990;7324716;1795;1525790;942
2009;März;4693156;911;4635716;1237;7148439;1865;1946871;1258
2009;April;4315032;848;4299634;1149;6139108;1645;1758300;1151
2009;Mai;4452647;909;4386978;1187;5854627;1565;1673413;1106
2009;Juni;4550020;963;4436383;1163;6289976;1513;1618985;1066
2009;Juli;4657995;986;4070038;1092;6979239;1738;1879026;1242
2009;August;4652246;1012;3766568;1006;6987390;1647;1631843;1060
2009;September;4617480;885;3965577;945;6986726;1540;1419884;933
2009;Oktober;4424850;793;4037893;914;7174286;1534;1228409;783
2009;November;4572212;900;4269011;1133;7883275;1856;1615051;1045
2009;Dezember;4031349;806;3838394;1033;7766489;1758;1672473;1109
2010;Januar;2866419;536;3171487;820;7798137;1710;1634971;1040
2010;Februar;2755062;445;3356138;781;7432824;1587;1423708;852
2010;März;4753944;991;5085491;1315;9300621;2269;1796067;1164
2010;April;4652357;930;4557596;1125;8523999;1971;1928355;1270
2010;Mai;4935708;1036;4515016;1196;8834905;2084;1920680;1273
2010;Juni;4859976;1041;4662380;1172;8564315;1990;2060749;1349
2010;Juli;4792031;1039;4267661;1096;8714484;1963;2142332;1430
2010;August;5061665;1118;4016875;1074;8667814;1920;1957426;1297
2010;September;4796915;994;4525683;1205;9111038;2056;1879878;1257
2010;Oktober;4775933;937;4488207;1205;9018237;2074;1899870;1241
2010;November;5112594;992;4329964;1183;9147249;2087;2000342;1338
2010;Dezember;3691704;753;3630779;1008;8421085;1894;1766743;1172
2011;Januar;3229842;474;3137552;628;7683745;1350;1278864;737
2011;Februar;4215919;787;4124765;1029;7895243;1592;1572331;955
2011;März;4717143;946;4714851;1259;9267870;2084;1859198;1173
2011;April;4455304;878;3944275;980;8237768;1741;1559517;944
2011;Mai;4822470;886;3686590;923;8860276;1732;1242951;785
2011;Juni;4642993;899;4225578;1090;8787749;1891;1676929;1034
2011;Juli;5005183;993;4266358;1112;9060588;1992;1933180;1175
2011;August;4945407;1000;3875914;989;8976092;1989;1871956;1143
2011;September;4784832;918;4247905;1052;8605434;1949;1677199;1017
2011;Oktober;4900519;950;3971225;992;8768369;1959;1660510;1024
2011;November;4653905;872;3058239;712;7324939;1503;1002047;618
2011;Dezember;4392205;803;3627428;942;8154651;1693;1362129;834
2012;Januar;4038702;786;3767939;1003;8215045;1806;1617568;1002
2012;Februar;2813499;467;3108752;773;7899546;1744;1518204;908
2012;März;5171630;1004;4363621;1122;9111094;2091;1999882;1283
2012;April;4496328;906;3818580;933;8184654;1758;1684327;1009
2012;Mai;4830210;1007;4225629;1080;8612573;1935;1732722;1117
2012;Juni;4736765;998;4148922;1125;8290636;1872;1696575;1124
2012;Juli;4921940;1006;4160038;1094;8638144;1970;1942137;1228
2012;August;4813937;964;3960810;1088;7735797;1657;1416492;896
2012;September;4447802;909;4234284;1110;7867096;1700;1554364;943
2012;Oktober;4989450;1034;4448279;1216;9086399;2005;1918533;1161
2012;November;5245626;1041;4255526;1146;8529898;1898;1820022;1120
2012;Dezember;4062841;790;3755447;997;7869766;1791;1412088;869
2013;Januar;3813119;711;3566001;1023;8309003;1877;1660377;1090
2013;Februar;3855997;741;3600861;988;8275652;1860;1487763;972
