GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;Februar;-;-;31;2078;1123;2793347
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;März;-;3112;-;76;64013;3123096
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;April;-;-;2;5321;1;3048360
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;Mai;-;6666;16;19145;68438;3091513
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;Juni;-;-;21;872;5;2858768
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;Juli;-;-;226;73533;8;3517884
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;August;-;-;34;133911;-;3245865
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;September;-;-;23;88473;1295;2867719
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;Oktober;-;4889;21;117609;19094;3895980
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;November;-;64086;1;85;25;3536658
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;Dezember;3492;-;7;30074;3060;4790561
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;Januar;-;58853;2;16250;380;3463319
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;Februar;-;19656;8;93;55;3479380
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;März;-;176747;17;472;160;3540595
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;April;-;97001;4;1262;46;3440950
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;Mai;620;-;22;323;4259;3702171
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;Juni;-;-;49;103153;52;3579169
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;Juli;-;-;33;61362;1157;3487377
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;August;-;26314;46;370;43;3399810
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;September;1200;22160;8;2412;2493;3729191
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;Oktober;-;-;8;430;4312;3566258
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;November;-;51691;47;2651;11;3950596
