buisnesstype,date,Originalwerte
"Hotels, Gasthöfe und Pensionen",2010-10,"110,9"
"Hotels, Gasthöfe und Pensionen",2010-11,"91,3"
"Hotels, Gasthöfe und Pensionen",2010-12,"89,8"
"Hotels, Gasthöfe und Pensionen",2011-01,"73,4"
"Hotels, Gasthöfe und Pensionen",2011-02,"76,5"
"Hotels, Gasthöfe und Pensionen",2011-03,"88,1"
"Hotels, Gasthöfe und Pensionen",2011-04,"90,6"
"Hotels, Gasthöfe und Pensionen",2011-05,"110,3"
"Hotels, Gasthöfe und Pensionen",2011-06,"104,7"
"Hotels, Gasthöfe und Pensionen",2011-07,"105,3"
"Hotels, Gasthöfe und Pensionen",2011-08,"102,1"
"Hotels, Gasthöfe und Pensionen",2011-09,"116,8"
"Hotels, Gasthöfe und Pensionen",2011-10,"110,7"
"Hotels, Gasthöfe und Pensionen",2011-11,"92,2"
"Hotels, Gasthöfe und Pensionen",2011-12,"92,9"
"Hotels, Gasthöfe und Pensionen",2012-01,"74,3"
"Hotels, Gasthöfe und Pensionen",2012-02,"79,9"
"Hotels, Gasthöfe und Pensionen",2012-03,"91,6"
"Hotels, Gasthöfe und Pensionen",2012-04,"92,8"
"Hotels, Gasthöfe und Pensionen",2012-05,"111,4"
"Hotels, Gasthöfe und Pensionen",2012-06,"107,1"
"Hotels, Gasthöfe und Pensionen",2012-07,"105,6"
"Hotels, Gasthöfe und Pensionen",2012-08,"108,2"
"Hotels, Gasthöfe und Pensionen",2012-09,"120,2"
"Hotels, Gasthöfe und Pensionen",2012-10,"109,7"
"Hotels, Gasthöfe und Pensionen",2012-11,"92,8"
"Hotels, Gasthöfe und Pensionen",2012-12,93
"Hotels, Gasthöfe und Pensionen",2013-01,"75,2"
"Hotels, Gasthöfe und Pensionen",2013-02,"77,7"
"Hotels, Gasthöfe und Pensionen",2013-03,"88,2"
"Hotels, Gasthöfe und Pensionen",2013-04,"95,4"
"Hotels, Gasthöfe und Pensionen",2013-05,"102,4"
"Hotels, Gasthöfe und Pensionen",2013-06,"105,1"
"Hotels, Gasthöfe und Pensionen",2013-07,"104,9"
"Hotels, Gasthöfe und Pensionen",2013-08,"108,4"
"Hotels, Gasthöfe und Pensionen",2013-09,"116,8"
"Hotels, Gasthöfe und Pensionen",2013-10,"112,8"
"Hotels, Gasthöfe und Pensionen",2013-11,"91,9"
"Hotels, Gasthöfe und Pensionen",2013-12,"90,9"
"Hotels, Gasthöfe und Pensionen",2014-01,"74,8"
"Hotels, Gasthöfe und Pensionen",2014-02,"76,2"
"Hotels, Gasthöfe und Pensionen",2014-03,"87,8"
"Hotels, Gasthöfe und Pensionen",2014-04,"89,9"
"Hotels, Gasthöfe und Pensionen",2014-05,"111,8"
"Hotels, Gasthöfe und Pensionen",2014-06,"105,5"
"Hotels, Gasthöfe und Pensionen",2014-07,"106,7"
"Hotels, Gasthöfe und Pensionen",2014-08,"110,3"
"Hotels, Gasthöfe und Pensionen",2014-09,"121,8"
"Hotels, Gasthöfe und Pensionen",2014-10,"112,8"
"Hotels, Gasthöfe und Pensionen",2014-11,"94,7"
"Hotels, Gasthöfe und Pensionen",2014-12,"92,5"
"Hotels, Gasthöfe und Pensionen",2015-01,"75,2"
"Hotels, Gasthöfe und Pensionen",2015-02,"78,6"
"Hotels, Gasthöfe und Pensionen",2015-03,"89,4"
"Hotels, Gasthöfe und Pensionen",2015-04,"91,5"
"Hotels, Gasthöfe und Pensionen",2015-05,"108,8"
"Hotels, Gasthöfe und Pensionen",2015-06,"112,4"
"Hotels, Gasthöfe und Pensionen",2015-07,"109,6"
"Hotels, Gasthöfe und Pensionen",2015-08,"112,3"
"Hotels, Gasthöfe und Pensionen",2015-09,"119,9"
"Hotels, Gasthöfe und Pensionen",2015-10,"113,6"
"Hotels, Gasthöfe und Pensionen",2015-11,"95,1"
"Hotels, Gasthöfe und Pensionen",2015-12,"93,6"
"Hotels, Gasthöfe und Pensionen",2016-01,"77,1"
"Hotels, Gasthöfe und Pensionen",2016-02,"82,2"
"Hotels, Gasthöfe und Pensionen",2016-03,"92,7"
"Hotels, Gasthöfe und Pensionen",2016-04,"100,4"
"Hotels, Gasthöfe und Pensionen",2016-05,"108,1"
"Hotels, Gasthöfe und Pensionen",2016-06,"111,2"
"Hotels, Gasthöfe und Pensionen",2016-07,"111,8"
"Hotels, Gasthöfe und Pensionen",2016-08,"110,8"
"Hotels, Gasthöfe und Pensionen",2016-09,"126,4"
"Hotels, Gasthöfe und Pensionen",2016-10,"115,7"
"Hotels, Gasthöfe und Pensionen",2016-11,"96,5"
"Hotels, Gasthöfe und Pensionen",2016-12,"95,9"
"Hotels, Gasthöfe und Pensionen",2017-01,"79,1"
"Hotels, Gasthöfe und Pensionen",2017-02,"80,8"
"Hotels, Gasthöfe und Pensionen",2017-03,"98,2"
"Hotels, Gasthöfe und Pensionen",2017-04,"96,5"
"Hotels, Gasthöfe und Pensionen",2017-05,"117,1"
"Hotels, Gasthöfe und Pensionen",2017-06,110
"Hotels, Gasthöfe und Pensionen",2017-07,"112,5"
