GENESIS-Tabelle: 45212-0004
Umsatz im Einzelhandel (real/nominal) (Messzahlen und;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;
Wirtschaftszweige;;;;;
Monatsstatistik im Einzelhandel;;;;;
Deutschland;;;;;
;;;;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%)
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;Mai;94,1;-4,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;Juni;93,5;-0,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;Juli;92,9;-0,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;August;94,6;-0,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;September;91,9;-2,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;Oktober;100,1;+2,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;November;100,1;-1,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;Dezember;111,2;-6,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;Januar;89,6;+1,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;Februar;87,6;+4,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;März;93,4;-7,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;April;96,2;+0,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;Mai;95,8;+1,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;Juni;90,3;-3,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;Juli;94,7;+1,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;August;91,4;-3,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;September;95,3;+3,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;Oktober;100,2;+0,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;November;98,0;-2,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2008;Dezember;115,0;+3,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;Januar;87,1;-2,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;Februar;80,7;-7,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;März;92,0;-1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;April;95,6;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;Mai;91,0;-5,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;Juni;87,5;-3,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;Juli;93,5;-1,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;August;87,7;-4,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;September;91,2;-4,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;Oktober;97,9;-2,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;November;94,8;-3,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2009;Dezember;112,5;-2,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;Januar;82,8;-4,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;Februar;81,5;+1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;März;98,0;+6,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;April;92,6;-3,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;Mai;91,5;+0,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;Juni;92,7;+5,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;Juli;96,7;+3,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;August;90,5;+3,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;September;93,1;+2,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;Oktober;97,6;-0,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;November;98,0;+3,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2010;Dezember;112,3;-0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;Januar;85,5;+3,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;Februar;83,9;+2,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;März;95,2;-2,9
