GENESIS-Tabelle: 43411-0001
Nettowärmeerzeugung, Brennstoffeinsatz, -bezug, -bestand:;;;;;
Deutschland, Jahre, Energieträger;;;;;
Erhebung über Erzeugung und Verwendung von Wärme;;;;;
Deutschland;;;;;
;;Nettowärmeerzeugung;Brennstoffeinsatz;Brennstoffbezug;Brennstoffbestand
2015;Raffineriegas;-;-;-;-
2015;Petrolkoks;-;-;-;-
2015;Sonstige Mineralölprodukte;.;.;.;-
2015;Erdgas, Erdölgas;12321615;53693935;53709227;.
2015;Grubengas;.;.;.;-
2015;Kokereigas;.;.;.;-
2015;Hochofengas;-;-;-;-
2015;Sonstige hergestellte Gase;.;.;.;-
2015;Geothermie;.;x;x;x
2015;Solarthermie;.;x;x;x
2015;Feste biogene Stoffe;1596965;9026063;8979874;442602
2015;Flüssige biogene Stoffe;.;.;.;-
2015;Biogas;736509;4642753;4642753;-
2015;Klärgas;.;.;.;-
2015;Deponiegas;.;.;.;-
2015;Sonstige erneuerbare Energien;.;-;-;-
2015;Klärschlamm;-;-;-;-
2015;Abfall (Hausmüll, Industrie);-;-;-;-
2015;Abfall (Industrie);.;.;.;.
2015;Abfall (Hausmüll, Siedlungsabfälle);.;.;.;.
2015;Kernenergie;x;x;x;x
2015;Wärme;.;.;.;-
2015;Sonstige Energieträger;.;.;.;-
2016;Steinkohlen;148794;644483;613736;.
2016;Steinkohlenkoks;.;.;.;-
2016;Steinkohlenbriketts;-;-;-;-
2016;Kohlenwertstoffe aus Steinkohle;.;.;.;.
2016;Sonstige Steinkohlen;-;-;-;-
2016;Rohbraunkohlen;-;-;-;-
2016;Hartbraunkohlen;-;-;-;-
2016;Braunkohlenbriketts;-;-;-;-
2016;Braunkohlenkoks;-;-;-;-
2016;Wirbelschichtkohle;-;-;-;-
2016;Staub- und Trockenkohle;334717;1377701;1373314;15026
2016;Sonstige Braunkohlen;-;-;-;-
2016;Dieselkraftstoff;-;-;-;-
2016;Heizöl, leicht;701129;2984674;4025724;4075425
2016;Heizöl, schwer;.;.;.;.
2016;Flüssiggas;4520;18541;.;.
2016;Raffineriegas;-;-;-;-
2016;Petrolkoks;-;-;-;-
2016;Sonstige Mineralölprodukte;.;.;.;-
2016;Erdgas, Erdölgas;13190256;57429093;57502055;.
2016;Grubengas;.;.;.;-
2016;Kokereigas;.;.;.;-
2016;Hochofengas;-;-;-;-
2016;Sonstige hergestellte Gase;.;.;.;-
2016;Geothermie;.;x;x;x
2016;Solarthermie;.;x;x;x
2016;Feste biogene Stoffe;1579465;7898340;8063673;606647
