;;;Originalwerte
Hotels, Gasthöfe und Pensionen;2001;November;110,9
Hotels, Gasthöfe und Pensionen;2001;Dezember;108
Hotels, Gasthöfe und Pensionen;2002;Januar;92,6
Hotels, Gasthöfe und Pensionen;2002;Februar;93,7
Hotels, Gasthöfe und Pensionen;2002;März;105,1
Hotels, Gasthöfe und Pensionen;2002;April;111,1
Hotels, Gasthöfe und Pensionen;2002;Mai;122,6
Hotels, Gasthöfe und Pensionen;2002;Juni;123,1
Hotels, Gasthöfe und Pensionen;2002;Juli;117,5
Hotels, Gasthöfe und Pensionen;2002;August;120,7
Hotels, Gasthöfe und Pensionen;2002;September;135,4
Hotels, Gasthöfe und Pensionen;2002;Oktober;123,9
Hotels, Gasthöfe und Pensionen;2002;November;100,7
Hotels, Gasthöfe und Pensionen;2002;Dezember;96,8
Hotels, Gasthöfe und Pensionen;2003;Januar;82,7
Hotels, Gasthöfe und Pensionen;2003;Februar;84,9
Hotels, Gasthöfe und Pensionen;2003;März;96,7
Hotels, Gasthöfe und Pensionen;2003;April;96,5
Hotels, Gasthöfe und Pensionen;2003;Mai;117,7
Hotels, Gasthöfe und Pensionen;2003;Juni;113
Hotels, Gasthöfe und Pensionen;2003;Juli;106,3
Hotels, Gasthöfe und Pensionen;2003;August;109,2
Hotels, Gasthöfe und Pensionen;2003;September;124
Hotels, Gasthöfe und Pensionen;2003;Oktober;118,5
Hotels, Gasthöfe und Pensionen;2003;November;96
Hotels, Gasthöfe und Pensionen;2003;Dezember;95
Hotels, Gasthöfe und Pensionen;2004;Januar;78,7
Hotels, Gasthöfe und Pensionen;2004;Februar;85,4
Hotels, Gasthöfe und Pensionen;2004;März;97,4
Hotels, Gasthöfe und Pensionen;2004;April;99,4
Hotels, Gasthöfe und Pensionen;2004;Mai;121
Hotels, Gasthöfe und Pensionen;2004;Juni;111,5
Hotels, Gasthöfe und Pensionen;2004;Juli;108,3
Hotels, Gasthöfe und Pensionen;2004;August;109,4
Hotels, Gasthöfe und Pensionen;2004;September;126,6
Hotels, Gasthöfe und Pensionen;2004;Oktober;119,1
Hotels, Gasthöfe und Pensionen;2004;November;95,4
Hotels, Gasthöfe und Pensionen;2004;Dezember;93,3
Hotels, Gasthöfe und Pensionen;2005;Januar;77,7
Hotels, Gasthöfe und Pensionen;2005;Februar;80,4
Hotels, Gasthöfe und Pensionen;2005;März;89,4
Hotels, Gasthöfe und Pensionen;2005;April;99
Hotels, Gasthöfe und Pensionen;2005;Mai;111,5
Hotels, Gasthöfe und Pensionen;2005;Juni;109,2
Hotels, Gasthöfe und Pensionen;2005;Juli;105,3
Hotels, Gasthöfe und Pensionen;2005;August;109,2
Hotels, Gasthöfe und Pensionen;2005;September;124,8
Hotels, Gasthöfe und Pensionen;2005;Oktober;116
Hotels, Gasthöfe und Pensionen;2005;November;91,1
Hotels, Gasthöfe und Pensionen;2005;Dezember;95,9
Hotels, Gasthöfe und Pensionen;2006;Januar;79,2
Hotels, Gasthöfe und Pensionen;2006;Februar;81,4
Hotels, Gasthöfe und Pensionen;2006;März;92,9
Hotels, Gasthöfe und Pensionen;2006;April;96,6
Hotels, Gasthöfe und Pensionen;2006;Mai;118,2
Hotels, Gasthöfe und Pensionen;2006;Juni;113,6
