;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Früheres Bundesgebiet;2006;April;3201579;9,7;10,9;243538;66620;6332
Früheres Bundesgebiet;2006;Mai;3048590;9,2;10,3;267383;58418;5140
Früheres Bundesgebiet;2006;Juni;2966420;8,9;10;286943;50111;4527
Früheres Bundesgebiet;2006;Juli;2960465;8,9;10;299658;42939;3877
Früheres Bundesgebiet;2006;August;2941351;8,8;9,9;302481;38484;3474
Früheres Bundesgebiet;2006;September;2835352;8,5;9,6;302307;37542;3436
Früheres Bundesgebiet;2006;Oktober;2738345;8,2;9,2;297843;32278;3012
Früheres Bundesgebiet;2006;November;2672549;8;9;288783;29596;2955
Früheres Bundesgebiet;2006;Dezember;2670414;8;9;279790;49503;5715
Früheres Bundesgebiet;2007;Januar;2815685;8,5;9,5;277962;92920;10963
Früheres Bundesgebiet;2007;Februar;2784410;8,4;9,4;307359;107643;13126
Früheres Bundesgebiet;2007;März;2696028;8,1;9,1;323992;104197;13161
Früheres Bundesgebiet;2007;April;2599610;7,8;8,8;337218;41016;4364
Früheres Bundesgebiet;2007;Mai;2492801;7,5;8,4;345155;38569;4077
Früheres Bundesgebiet;2007;Juni;2418169;7,3;8,1;353440;36454;3845
Früheres Bundesgebiet;2007;Juli;2440914;7,3;8,2;358733;31270;3514
Früheres Bundesgebiet;2007;August;2435052;7,3;8,2;354264;25439;3097
Früheres Bundesgebiet;2007;September;2326351;7;7,8;343746;27454;3116
Früheres Bundesgebiet;2007;Oktober;2256910;6,8;7,6;331322;29756;3218
Früheres Bundesgebiet;2007;November;2217030;6,6;7,5;312845;30154;3463
Früheres Bundesgebiet;2007;Dezember;2223380;6,7;7,5;293644;57957;8381
Früheres Bundesgebiet;2008;Januar;2375607;7,1;8;280211;100895;13775
Früheres Bundesgebiet;2008;Februar;2340140;7;7,9;300419;118958;15970
Früheres Bundesgebiet;2008;März;2264821;6,8;7,6;314022;113564;15347
Früheres Bundesgebiet;2008;April;2209536;6,6;7,4;317224;46727;4946
Früheres Bundesgebiet;2008;Mai;2133943;6,4;7,2;323418;40544;4181
Früheres Bundesgebiet;2008;Juni;2068067;6,2;7;340918;40439;3975
